,ID,Case Number,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,SplitDate,Time,AM/PM,SplitMonth,SplitDay,SplitYear
58,10757372,HZ520386,019XX W OGDEN AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1225,12,2,28,6,1163748,1897574,2016,11/25/2016 03:52:04 PM,41.87457426,-87.67425389,"(41.874574262, -87.674253889)",11/18/2016,5:00:00,AM,11,18,2016
59,10757373,HZ520144,008XX N MILWAUKEE AVE,340,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,CTA BUS,FALSE,FALSE,1213,12,27,24,3,1168732,1905582,2016,11/25/2016 03:52:04 PM,41.89644231,-87.65572273,"(41.896442307, -87.655722728)",11/18/2016,7:20:00,AM,11,18,2016
60,10757374,HZ520271,034XX W 59TH ST,031A,ROBBERY,ARMED: HANDGUN,SMALL RETAIL STORE,FALSE,FALSE,822,8,14,63,3,1154300,1865279,2016,11/25/2016 03:52:04 PM,41.78614653,-87.70980358,"(41.786146534, -87.709803582)",11/18/2016,11:29:00,AM,11,18,2016
61,10757333,HZ520095,003XX E OHIO ST,810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),TRUE,FALSE,1834,18,42,8,6,1178915,1904276,2016,12/23/2016 03:47:34 PM,41.8926318,-87.61836282,"(41.892631803, -87.618362824)",11/18/2016,8:25:00,AM,11,18,2016
62,10757318,HZ520160,082XX S KEDZIE AVE,331,ROBBERY,ATTEMPT: AGGRAVATED,GAS STATION,TRUE,FALSE,834,8,18,70,3,1156479,1849888,2016,01/28/2017 03:47:04 PM,41.74386762,-87.70222825,"(41.743867618, -87.702228253)",11/18/2016,10:12:00,AM,11,18,2016
63,10757379,HZ520295,132XX S CORLISS AVE,330,ROBBERY,AGGRAVATED,SIDEWALK,FALSE,FALSE,533,5,9,54,3,1184016,1817897,2016,11/25/2016 03:52:04 PM,41.65548171,-87.60232569,"(41.65548171, -87.602325685)",11/18/2016,12:00:00,PM,11,18,2016
64,10757380,HZ520357,020XX W LELAND AVE,340,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,SIDEWALK,FALSE,FALSE,1911,19,47,4,3,1162017,1931210,2016,11/25/2016 03:52:04 PM,41.96691002,-87.67966801,"(41.966910019, -87.679668014)",11/18/2016,1:00:00,PM,11,18,2016
65,10757381,HZ520317,017XX N WESTERN AVE,860,THEFT,RETAIL THEFT,GAS STATION,FALSE,FALSE,1434,14,1,24,6,1160086,1911784,2016,11/25/2016 03:52:04 PM,41.91364408,-87.68730633,"(41.913644076, -87.687306326)",11/18/2016,12:35:00,PM,11,18,2016
66,10757383,HZ520280,002XX N COLUMBUS DR,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,FALSE,FALSE,114,1,42,32,6,1178302,1901928,2016,11/25/2016 03:52:04 PM,41.88620277,-87.62068572,"(41.886202772, -87.620685715)",11/18/2016,11:23:00,AM,11,18,2016
67,10757384,HZ520409,042XX W 83RD ST,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,FALSE,FALSE,834,8,13,70,14,1149658,1849188,2016,11/25/2016 03:52:04 PM,41.74208125,-87.72723939,"(41.742081253, -87.727239385)",11/18/2016,1:10:00,PM,11,18,2016
